2026-05-23 08:56:41,877 [parser] reading multistream index from /mnt/data/downloads/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 11:39:14,763 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:02:19,658 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:03:14,777 [parser] got 255166 unique offsets
2026-05-23 12:03:14,780 [parser] limited to first 10 offsets (test mode)
2026-05-23 12:03:16,170 [w325880] worker 9 block @10180767 decompress failed: 
2026-05-23 12:14:15,564 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:15:11,833 [parser] got 255166 unique offsets
2026-05-23 17:17:07,942 [loader] [LOADER] 212,000 docs written | 7,064,589 links written | 6,000 docs/min
2026-05-23 17:18:07,942 [loader] [LOADER] 216,000 docs written | 7,210,885 links written | 4,000 docs/min
2026-05-23 17:19:07,942 [loader] [LOADER] 218,000 docs written | 7,301,659 links written | 2,000 docs/min
2026-05-23 17:20:07,943 [loader] [LOADER] 219,500 docs written | 7,389,167 links written | 1,500 docs/min
2026-05-23 17:21:07,943 [loader] [LOADER] 223,500 docs written | 7,470,732 links written | 4,000 docs/min
2026-05-23 17:22:07,943 [loader] [LOADER] 224,500 docs written | 7,516,891 links written | 1,000 docs/min
2026-05-23 17:23:07,944 [loader] [LOADER] 227,000 docs written | 7,572,695 links written | 2,500 docs/min
2026-05-23 17:24:07,944 [loader] [LOADER] 228,000 docs written | 7,623,303 links written | 1,000 docs/min
2026-05-23 17:25:07,945 [loader] [LOADER] 229,500 docs written | 7,683,959 links written | 1,500 docs/min
2026-05-23 17:26:07,945 [loader] [LOADER] 231,500 docs written | 7,740,118 links written | 2,000 docs/min
2026-05-23 17:27:07,945 [loader] [LOADER] 232,000 docs written | 7,770,271 links written | 500 docs/min
2026-05-23 17:28:07,946 [loader] [LOADER] 233,000 docs written | 7,806,471 links written | 1,000 docs/min
2026-05-23 17:29:07,946 [loader] [LOADER] 234,500 docs written | 7,848,113 links written | 1,500 docs/min
2026-05-23 17:30:07,947 [loader] [LOADER] 236,000 docs written | 7,894,269 links written | 1,500 docs/min
2026-05-23 17:31:07,947 [loader] [LOADER] 238,000 docs written | 7,939,876 links written | 2,000 docs/min
2026-05-23 17:32:07,948 [loader] [LOADER] 238,500 docs written | 7,985,578 links written | 500 docs/min
2026-05-23 17:33:07,948 [loader] [LOADER] 240,000 docs written | 8,046,322 links written | 1,500 docs/min
2026-05-23 17:34:07,949 [loader] [LOADER] 241,500 docs written | 8,102,234 links written | 1,500 docs/min
2026-05-23 17:35:07,949 [loader] [LOADER] 243,000 docs written | 8,152,756 links written | 1,500 docs/min
2026-05-23 17:36:07,950 [loader] [LOADER] 244,000 docs written | 8,210,160 links written | 1,000 docs/min
2026-05-23 17:37:07,951 [loader] [LOADER] 246,500 docs written | 8,263,125 links written | 2,500 docs/min
2026-05-23 17:38:07,951 [loader] [LOADER] 249,000 docs written | 8,323,656 links written | 2,500 docs/min
2026-05-23 17:39:07,952 [loader] [LOADER] 249,500 docs written | 8,374,252 links written | 500 docs/min
2026-05-23 17:40:07,953 [loader] [LOADER] 250,500 docs written | 8,424,521 links written | 1,000 docs/min
2026-05-23 17:41:07,953 [loader] [LOADER] 253,500 docs written | 8,499,983 links written | 3,000 docs/min
2026-05-23 17:42:07,954 [loader] [LOADER] 255,000 docs written | 8,560,429 links written | 1,500 docs/min
2026-05-23 17:43:07,955 [loader] [LOADER] 258,000 docs written | 8,630,811 links written | 3,000 docs/min
2026-05-23 17:44:07,955 [loader] [LOADER] 258,500 docs written | 8,671,513 links written | 500 docs/min
2026-05-23 17:45:07,956 [loader] [LOADER] 260,000 docs written | 8,742,934 links written | 1,500 docs/min
2026-05-23 17:46:07,957 [loader] [LOADER] 262,000 docs written | 8,799,693 links written | 2,000 docs/min
2026-05-23 17:47:07,958 [loader] [LOADER] 263,000 docs written | 8,839,902 links written | 1,000 docs/min
2026-05-23 17:48:07,958 [loader] [LOADER] 265,000 docs written | 8,895,250 links written | 2,000 docs/min
2026-05-23 17:49:07,959 [loader] [LOADER] 266,500 docs written | 8,956,337 links written | 1,500 docs/min
2026-05-23 17:50:07,959 [loader] [LOADER] 267,000 docs written | 9,006,913 links written | 500 docs/min
2026-05-23 17:51:07,960 [loader] [LOADER] 269,000 docs written | 9,048,108 links written | 2,000 docs/min
2026-05-23 17:52:07,960 [loader] [LOADER] 271,000 docs written | 9,088,379 links written | 2,000 docs/min
2026-05-23 17:53:07,961 [loader] [LOADER] 272,000 docs written | 9,146,529 links written | 1,000 docs/min
2026-05-23 17:54:07,962 [loader] [LOADER] 272,500 docs written | 9,201,748 links written | 500 docs/min
2026-05-23 17:55:07,963 [loader] [LOADER] 275,000 docs written | 9,247,189 links written | 2,500 docs/min
2026-05-23 17:56:07,963 [loader] [LOADER] 277,000 docs written | 9,297,929 links written | 2,000 docs/min
2026-05-23 17:57:07,964 [loader] [LOADER] 278,000 docs written | 9,343,255 links written | 1,000 docs/min
2026-05-23 17:58:07,965 [loader] [LOADER] 278,500 docs written | 9,358,896 links written | 500 docs/min
2026-05-23 17:59:07,966 [loader] [LOADER] 278,500 docs written | 9,389,289 links written | 0 docs/min
2026-05-23 18:00:07,966 [loader] [LOADER] 279,500 docs written | 9,429,605 links written | 1,000 docs/min
2026-05-23 18:01:07,967 [loader] [LOADER] 281,500 docs written | 9,469,911 links written | 2,000 docs/min
2026-05-23 18:02:07,967 [loader] [LOADER] 283,000 docs written | 9,505,818 links written | 1,500 docs/min
2026-05-23 18:03:07,968 [loader] [LOADER] 284,500 docs written | 9,551,470 links written | 1,500 docs/min
2026-05-23 18:04:07,969 [loader] [LOADER] 286,000 docs written | 9,597,452 links written | 1,500 docs/min
2026-05-23 18:05:07,970 [loader] [LOADER] 286,000 docs written | 9,632,938 links written | 0 docs/min
2026-05-23 18:06:07,970 [loader] [LOADER] 287,500 docs written | 9,678,111 links written | 1,500 docs/min
2026-05-23 18:07:07,971 [loader] [LOADER] 289,500 docs written | 9,723,603 links written | 2,000 docs/min
2026-05-23 18:08:07,972 [loader] [LOADER] 290,500 docs written | 9,774,580 links written | 1,000 docs/min
2026-05-23 18:09:07,972 [loader] [LOADER] 291,500 docs written | 9,810,167 links written | 1,000 docs/min
2026-05-23 18:10:07,973 [loader] [LOADER] 293,000 docs written | 9,840,817 links written | 1,500 docs/min
2026-05-23 18:11:07,974 [loader] [LOADER] 294,000 docs written | 9,876,228 links written | 1,000 docs/min
2026-05-23 18:12:07,974 [loader] [LOADER] 294,500 docs written | 9,922,575 links written | 500 docs/min
2026-05-23 18:13:07,975 [loader] [LOADER] 296,000 docs written | 9,963,013 links written | 1,500 docs/min
2026-05-23 18:14:07,976 [loader] [LOADER] 297,500 docs written | 10,004,670 links written | 1,500 docs/min
2026-05-23 18:15:07,976 [loader] [LOADER] 298,500 docs written | 10,039,786 links written | 1,000 docs/min
2026-05-23 18:16:07,977 [loader] [LOADER] 299,000 docs written | 10,075,134 links written | 500 docs/min
2026-05-23 18:17:07,978 [loader] [LOADER] 300,000 docs written | 10,115,927 links written | 1,000 docs/min
2026-05-23 18:18:07,978 [loader] [LOADER] 302,500 docs written | 10,152,087 links written | 2,500 docs/min
2026-05-23 18:19:07,979 [loader] [LOADER] 304,000 docs written | 10,197,394 links written | 1,500 docs/min
2026-05-23 18:37:54,549 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 18:38:35,307 [parser] got 255166 unique offsets
2026-05-23 18:39:35,610 [loader] [LOADER] 7,500 docs written | 45,367 links written | 7,500 docs/min
2026-05-23 18:40:35,611 [loader] [LOADER] 10,500 docs written | 147,218 links written | 3,000 docs/min
2026-05-23 18:41:35,612 [loader] [LOADER] 16,500 docs written | 270,281 links written | 6,000 docs/min
2026-05-23 18:42:35,612 [loader] [LOADER] 18,000 docs written | 401,842 links written | 1,500 docs/min
2026-05-23 18:43:35,613 [loader] [LOADER] 22,500 docs written | 509,017 links written | 4,500 docs/min
2026-05-23 18:44:35,613 [loader] [LOADER] 24,500 docs written | 645,445 links written | 2,000 docs/min
2026-05-23 19:32:03,818 [parser] reading multistream index from /~/Desktop/surge-engine/enwiki-index.txt.bz2
2026-05-23 19:39:42,378 [parser] reading multistream index from /home/stargazer/Desktop/surge-engine/enwiki-index.txt.bz2
2026-05-23 19:40:16,927 [parser] got 255166 unique offsets
2026-05-23 19:40:16,930 [parser] limited to first 10 offsets (test mode)
2026-05-23 19:40:17,069 [w275294] worker 9 block @10180767 decompress failed: 
2026-05-23 19:41:56,618 [parser] reading multistream index from /home/stargazer/Desktop/surge-engine/enwiki-index.txt.bz2
2026-05-23 19:42:31,132 [parser] got 255166 unique offsets
2026-05-23 19:42:31,171 [parser] preloaded 613 existing urls for in-memory skip
2026-05-23 19:43:31,515 [loader] [LOADER] 22,500 docs written | 549,444 links written | 22,500 docs/min
